# GENERATED by hc-conformance --write-coverage-traceability. One row per (element, attribute,
# fixture) triple InterfaceInventoryLedger marks present -- i.e. one severance run per place the
# interface actually shows up. Presence (interface-inventory.tsv) only means the attribute
# resolves to a real IDREF somewhere; it says nothing about whether the interface DOES anything.
# This ledger answers that by emptying the attribute out of every occurrence in the fixture and
# re-parsing every word against the mutant, exactly as CounterfactualLedger does for a unit
# surface. verdict is CounterfactualVerdict: only Evidenced is a word-level witness;
# RequiredByLoader/RequiredByDtd mean severing it made the grammar fail to load (a real but weaker
# signal -- no word was ever reached); Unobservable means the interface is present but INERT in
# this fixture -- every word parsed identically with it severed. Absent fields are "-".
element	attribute	fixture	verdict	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome
MorphologicalOutput	MPRFeatures	edge-cases/mpr-group-overwrite-without-realizational	Evidenced	removed MPRFeatures from 2 <MorphologicalOutput> element(s)	'udofq': ok::THEMEA+DOF+ENDC|udofq -> ok::-	udofq	ok::THEMEA+DOF+ENDC|udofq	Word	ok::-
MorphologicalOutput	MPRFeatures	edge-cases/mpr-overwrite-order-dependence	Evidenced	removed MPRFeatures from 4 <MorphologicalOutput> element(s)	'daboyuxazi': ok::DABO+SETY+SETX+GATEX|daboyuxazi -> ok::-	daboyuxazi	ok::DABO+SETY+SETX+GATEX|daboyuxazi	Word	ok::-
MorphologicalOutput	MPRFeatures	languages/fusional-realizational-morphology	Evidenced	removed MPRFeatures from 5 <MorphologicalOutput> element(s)	'ygofz': ok::- -> ok::THEMEY+GOF+ENDZ|ygofz	ygofz	ok::-	Word	ok::THEMEY+GOF+ENDZ|ygofz
MorphologicalOutput	MPRFeatures	languages/prefixal-discontinuous-slot-dependency	Evidenced	removed MPRFeatures from 1 <MorphologicalOutput> element(s)	'bishiyidkal': ok::OBJ+SBJ+PRF+CLF+KAL|bishiyidkal -> ok::-	bishiyidkal	ok::OBJ+SBJ+PRF+CLF+KAL|bishiyidkal	Word	ok::-
MorphologicalOutput	MPRFeatures	languages/suffixing-extension-slot-ordering	Evidenced	removed MPRFeatures from 4 <MorphologicalOutput> element(s)	'nbael': ok::- -> ok::PPO+PHDESTROY|nbael	nbael	ok::-	Word	ok::PPO+PHDESTROY|nbael
MorphologicalPhonologicalRuleFeatureGroup	features	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed features from 2 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...
MorphologicalPhonologicalRuleFeatureGroup	features	edge-cases/mpr-group-overwrite-without-realizational	RequiredByDtd	removed features from 1 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...	dof	ok::DOF|dof	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...
MorphologicalPhonologicalRuleFeatureGroup	features	edge-cases/mpr-overwrite-order-dependence	RequiredByDtd	removed features from 2 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...	dabo	ok::DABO|dabo	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...
MorphologicalPhonologicalRuleFeatureGroup	features	languages/fusional-realizational-morphology	RequiredByDtd	removed features from 3 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...
MorphologicalPhonologicalRuleFeatureGroup	features	languages/suffixing-extension-slot-ordering	RequiredByDtd	removed features from 4 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...	mbe	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'features' ...
MorphologicalRule	outputObligatoryFeatures	languages/suffixing-extension-slot-ordering	Unobservable	removed outputObligatoryFeatures from 1 <MorphologicalRule> element(s)	all 53 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/compounding-breadth	Unobservable	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	all 11 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/cross-table-root-respelling	Unobservable	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	all 7 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/deep-optional-affix-nesting	Unobservable	removed outputPartOfSpeech from 12 <MorphologicalRule> element(s)	all 3 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/diacritic-segments	Unobservable	removed outputPartOfSpeech from 2 <MorphologicalRule> element(s)	all 13 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/disjunctive-recheck	Unobservable	removed outputPartOfSpeech from 2 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/feature-gating-breadth	Unobservable	removed outputPartOfSpeech from 3 <MorphologicalRule> element(s)	all 15 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/feature-system-breadth	Unobservable	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	all 18 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/free-fluctuating-allomorph-pair	Unobservable	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	all 6 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/loader-isactive-breadth	Unobservable	removed outputPartOfSpeech from 6 <MorphologicalRule> element(s)	all 18 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/morphotactic-attribute-breadth	Unobservable	removed outputPartOfSpeech from 16 <MorphologicalRule> element(s)	all 33 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/mpr-gated-exception	Unobservable	removed outputPartOfSpeech from 4 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/mpr-group-overwrite-without-realizational	Unobservable	removed outputPartOfSpeech from 3 <MorphologicalRule> element(s)	all 5 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/mpr-overwrite-order-dependence	Unobservable	removed outputPartOfSpeech from 6 <MorphologicalRule> element(s)	all 10 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/process-morphology-in-place-mutation	Unobservable	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	all 3 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/stem-name-restricted-root-allomorph	Unobservable	removed outputPartOfSpeech from 2 <MorphologicalRule> element(s)	all 6 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/strrep-identity	Unobservable	removed outputPartOfSpeech from 2 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	edge-cases/subrule-morphosyntactic-gating	Evidenced	removed outputPartOfSpeech from 1 <MorphologicalRule> element(s)	'pat': ok::ROOT1|pat -> ok::ROOT1+DERIVE|pat;ROOT1|pat	pat	ok::ROOT1|pat	Word	ok::ROOT1+DERIVE|pat;ROOT1|pat
MorphologicalRule	outputPartOfSpeech	languages/fusional-realizational-morphology	Unobservable	removed outputPartOfSpeech from 17 <MorphologicalRule> element(s)	all 63 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/metathesis-phase-isolation	Unobservable	removed outputPartOfSpeech from 9 <MorphologicalRule> element(s)	all 20 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/polysynthetic-stratal-derivation-chain	Evidenced	removed outputPartOfSpeech from 4 <MorphologicalRule> element(s)	'nunaliqvuq': ok::NUNA+DERIV+INFL|nunaliqvuq -> ok::-	nunaliqvuq	ok::NUNA+DERIV+INFL|nunaliqvuq	Word	ok::-
MorphologicalRule	outputPartOfSpeech	languages/prefixal-discontinuous-slot-dependency	Unobservable	removed outputPartOfSpeech from 7 <MorphologicalRule> element(s)	all 10 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/suffixing-evidential-adjacency-chain	Unobservable	removed outputPartOfSpeech from 11 <MorphologicalRule> element(s)	all 28 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/suffixing-extension-slot-ordering	Unobservable	removed outputPartOfSpeech from 16 <MorphologicalRule> element(s)	all 53 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/suffixing-vowel-harmony	Unobservable	removed outputPartOfSpeech from 6 <MorphologicalRule> element(s)	all 27 word(s) unchanged	-	-	None	-
MorphologicalRule	outputPartOfSpeech	languages/templatic-root-modification	Unobservable	removed outputPartOfSpeech from 7 <MorphologicalRule> element(s)	all 25 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/compounding-breadth	Evidenced	removed requiredPartsOfSpeech from 1 <MorphologicalRule> element(s)	'katumi': ok::- -> ok::KA+TU+TPLSUF|katumi	katumi	ok::-	Word	ok::KA+TU+TPLSUF|katumi
MorphologicalRule	requiredPartsOfSpeech	edge-cases/cross-table-root-respelling	Unobservable	removed requiredPartsOfSpeech from 1 <MorphologicalRule> element(s)	all 7 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/deep-optional-affix-nesting	Unobservable	removed requiredPartsOfSpeech from 12 <MorphologicalRule> element(s)	all 3 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/diacritic-segments	Unobservable	removed requiredPartsOfSpeech from 2 <MorphologicalRule> element(s)	all 13 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/disjunctive-recheck	Unobservable	removed requiredPartsOfSpeech from 2 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/feature-gating-breadth	Unobservable	removed requiredPartsOfSpeech from 3 <MorphologicalRule> element(s)	all 15 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/feature-system-breadth	Unobservable	removed requiredPartsOfSpeech from 1 <MorphologicalRule> element(s)	all 18 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/free-fluctuating-allomorph-pair	Unobservable	removed requiredPartsOfSpeech from 1 <MorphologicalRule> element(s)	all 6 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/loader-isactive-breadth	Unobservable	removed requiredPartsOfSpeech from 6 <MorphologicalRule> element(s)	all 18 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/morphotactic-attribute-breadth	Unobservable	removed requiredPartsOfSpeech from 16 <MorphologicalRule> element(s)	all 33 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/mpr-gated-exception	Unobservable	removed requiredPartsOfSpeech from 4 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/mpr-group-overwrite-without-realizational	Unobservable	removed requiredPartsOfSpeech from 3 <MorphologicalRule> element(s)	all 5 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/mpr-overwrite-order-dependence	Unobservable	removed requiredPartsOfSpeech from 6 <MorphologicalRule> element(s)	all 10 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/process-morphology-in-place-mutation	Unobservable	removed requiredPartsOfSpeech from 1 <MorphologicalRule> element(s)	all 3 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/stem-name-restricted-root-allomorph	Unobservable	removed requiredPartsOfSpeech from 2 <MorphologicalRule> element(s)	all 6 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/strrep-identity	Unobservable	removed requiredPartsOfSpeech from 2 <MorphologicalRule> element(s)	all 12 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	edge-cases/truncate-morphotactic	Unobservable	removed requiredPartsOfSpeech from 3 <MorphologicalRule> element(s)	all 9 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	languages/fusional-realizational-morphology	Evidenced	removed requiredPartsOfSpeech from 17 <MorphologicalRule> element(s)	'mano': ok::STEM+P1|mano -> ok::STEM+ABLAUT+P1|mano;STEM+P1|mano	mano	ok::STEM+P1|mano	Word	ok::STEM+ABLAUT+P1|mano;STEM+P1|mano
MorphologicalRule	requiredPartsOfSpeech	languages/metathesis-phase-isolation	Unobservable	removed requiredPartsOfSpeech from 9 <MorphologicalRule> element(s)	all 20 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	languages/polysynthetic-stratal-derivation-chain	Evidenced	removed requiredPartsOfSpeech from 4 <MorphologicalRule> element(s)	'nunavuq': ok::- -> ok::NUNA+INFL|nunavuq	nunavuq	ok::-	Word	ok::NUNA+INFL|nunavuq
MorphologicalRule	requiredPartsOfSpeech	languages/prefixal-discontinuous-slot-dependency	Unobservable	removed requiredPartsOfSpeech from 7 <MorphologicalRule> element(s)	all 10 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	languages/suffixing-evidential-adjacency-chain	Unobservable	removed requiredPartsOfSpeech from 11 <MorphologicalRule> element(s)	all 28 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	languages/suffixing-extension-slot-ordering	Evidenced	removed requiredPartsOfSpeech from 16 <MorphologicalRule> element(s)	'lisez': ok::PHXROOT+PHXSRC|lisez -> ok::PHXROOT+AGR|lisez;PHXROOT+PHXSRC|lisez	lisez	ok::PHXROOT+PHXSRC|lisez	Word	ok::PHXROOT+AGR|lisez;PHXROOT+PHXSRC|lisez
MorphologicalRule	requiredPartsOfSpeech	languages/suffixing-vowel-harmony	Unobservable	removed requiredPartsOfSpeech from 6 <MorphologicalRule> element(s)	all 27 word(s) unchanged	-	-	None	-
MorphologicalRule	requiredPartsOfSpeech	languages/templatic-root-modification	Evidenced	removed requiredPartsOfSpeech from 7 <MorphologicalRule> element(s)	'katabit': ok::KTB+P1SG|katabit -> ok::KTB+JUSS+PASS+P1SG|katabit;KTB+JUSS+PASS+P1SG|katabit;KTB+P1SG|katabit;KTB+P3SG+PASS+P1SG|katabit;KTB+P3SG+PASS+P1SG|katabit;KTB+PERF+P1SG|katabit	katabit	ok::KTB+P1SG|katabit	Word	ok::KTB+JUSS+PASS+P1SG|katabit;KTB+JUSS+PASS+P1SG|katabit;KTB+P1SG|katabit;KTB+P3SG+PASS+P1SG|katabit;KTB+P3SG+PASS+P1SG|katabit;KTB+PERF+P1SG|katabit
MorphologicalRule	requiredStemName	languages/suffixing-extension-slot-ordering	Evidenced	removed requiredStemName from 1 <MorphologicalRule> element(s)	'daheh': ok::- -> ok::DAH+STEMREQ|daheh	daheh	ok::-	Word	ok::DAH+STEMREQ|daheh
PhonologicalSubrule	excludedMPRFeatures	edge-cases/mpr-gated-exception	Evidenced	removed excludedMPRFeatures from 1 <PhonologicalSubrule> element(s)	'menanukam': ok::- -> ok::NPFX+TANUK+DELEXCLSRC|menanukam;NPFX+TANUK+DELEXCLSRC|menanukam	menanukam	ok::-	Word	ok::NPFX+TANUK+DELEXCLSRC|menanukam;NPFX+TANUK+DELEXCLSRC|menanukam
PhonologicalSubrule	excludedMPRFeatures	languages/suffixing-extension-slot-ordering	Evidenced	removed excludedMPRFeatures from 1 <PhonologicalSubrule> element(s)	'mbe': ok::- -> ok::PPE|mbe	mbe	ok::-	Word	ok::PPE|mbe
PhonologicalSubrule	requiredMPRFeatures	languages/suffixing-extension-slot-ordering	Evidenced	removed requiredMPRFeatures from 1 <PhonologicalSubrule> element(s)	'nbael': ok::- -> ok::PPO+PHDESTROY|nbael	nbael	ok::-	Word	ok::PPO+PHDESTROY|nbael
PhonologicalSubrule	requiredPartsOfSpeech	edge-cases/mpr-gated-exception	Unobservable	removed requiredPartsOfSpeech from 3 <PhonologicalSubrule> element(s)	all 12 word(s) unchanged	-	-	None	-
PhonologicalSubrule	requiredPartsOfSpeech	edge-cases/subrule-morphosyntactic-gating	Evidenced	removed requiredPartsOfSpeech from 1 <PhonologicalSubrule> element(s)	'pat': ok::ROOT1|pat -> ok::-	pat	ok::ROOT1|pat	Word	ok::-
PhonologicalSubrule	requiredPartsOfSpeech	languages/metathesis-phase-isolation	Evidenced	removed requiredPartsOfSpeech from 1 <PhonologicalSubrule> element(s)	'idil': ok::- -> ok::ADIL|idil	idil	ok::-	Word	ok::ADIL|idil
PhonologicalSubrule	requiredPartsOfSpeech	languages/polysynthetic-stratal-derivation-chain	Evidenced	removed requiredPartsOfSpeech from 4 <PhonologicalSubrule> element(s)	'kuuukuuu': ok::MS|kuuukuuu -> ok::-	kuuukuuu	ok::MS|kuuukuuu	Word	ok::-
PhonologicalSubrule	requiredPartsOfSpeech	languages/suffixing-extension-slot-ordering	Evidenced	removed requiredPartsOfSpeech from 3 <PhonologicalSubrule> element(s)	'mbe': ok::- -> ok::PPE|mbe	mbe	ok::-	Word	ok::PPE|mbe
PhonologicalSubrule	requiredPartsOfSpeech	languages/suffixing-vowel-harmony	Evidenced	removed requiredPartsOfSpeech from 1 <PhonologicalSubrule> element(s)	'kutagida': ok::KUTAK+PAST|kutagida -> ok::-	kutagida	ok::KUTAK+PAST|kutagida	Word	ok::-
PhonologicalSubrule	requiredPartsOfSpeech	languages/templatic-root-modification	Evidenced	removed requiredPartsOfSpeech from 5 <PhonologicalSubrule> element(s)	'spr': ok::SPR|spr -> ok::-	spr	ok::SPR|spr	Word	ok::-
Segment	segment	edge-cases/alpha-variable-name-collision	RequiredByDtd	removed segment from 4 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/diacritic-segments	RequiredByDtd	removed segment from 4 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/disjunctive-recheck	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	wak	ok::|wak	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/feature-system-breadth	RequiredByDtd	removed segment from 20 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/free-fluctuating-allomorph-pair	RequiredByDtd	removed segment from 1 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	pol	ok::ALT|pol	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/loader-pattern-shapes	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	bat	ok::|b[ae]t	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/metathesis-comparison-crash	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	ti	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/mpr-gated-exception	RequiredByDtd	removed segment from 3 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	tulik	ok::TULIK|tulik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/rewrite-analysis-feature-neutralization	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	d	ok::ROOT1|b;ROOT2|d	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/right-to-left-anchor-environment	RequiredByDtd	removed segment from 4 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	aae	ok::ROOT1|aae	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/strrep-identity	RequiredByDtd	removed segment from 1 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	pat	ok::+|[(^0)∅]?+?pat;|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/subrule-morphosyntactic-gating	RequiredByDtd	removed segment from 1 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	pat	ok::ROOT1|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/synthesis-stratum-render-stale-table	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	j	ok::ROOTCROSS|	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	edge-cases/truncate-morphotactic	RequiredByDtd	removed segment from 2 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	sag	ok::|sag	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	languages/metathesis-phase-isolation	RequiredByDtd	removed segment from 3 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	languages/polysynthetic-stratal-derivation-chain	RequiredByDtd	removed segment from 1 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	nuna	ok::NUNA|nuna	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed segment from 14 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	languages/suffixing-vowel-harmony	RequiredByDtd	removed segment from 3 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	semitide	ok::SEMIT+PAST|semitide	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
Segment	segment	languages/templatic-root-modification	RequiredByDtd	removed segment from 5 <Segment> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'segment' i...
SimpleContext	naturalClass	edge-cases/alpha-variable-name-collision	RequiredByDtd	removed naturalClass from 4 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/compounding-breadth	RequiredByDtd	removed naturalClass from 13 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/cross-table-root-respelling	RequiredByDtd	removed naturalClass from 1 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	t	ok::ROOT1|m;ROOT3|t	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/deep-optional-affix-nesting	RequiredByDtd	removed naturalClass from 12 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	k	ok::K|k	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/diacritic-segments	RequiredByDtd	removed naturalClass from 3 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/disjunctive-recheck	RequiredByDtd	removed naturalClass from 5 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	wak	ok::|wak	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/feature-gating-breadth	RequiredByDtd	removed naturalClass from 4 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
SimpleContext	naturalClass	edge-cases/feature-system-breadth	RequiredByDtd	removed naturalClass from 20 <SimpleContext> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'naturalCla...
